,Process variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.297360003,3720.699951,4532.600098,9.313099861,26.99399948,42.63000107,2706.300049,74.80699921,120.4100037,0.339469999,80.15399933,48.81000137,2635.399902,24.63999939,48.85400009,3102.399902,23.5189991,65.65599823,232.1699982,341.5499878,94.39399719,77.41600037,32.06000137,8.990099907,26.31200027,6.991099834,18.97299957,1.649799943,33.35100174,13.75,23.76600075,1.3829,18.19099998,2.211100101,4.945000172,2.312900066,0.036047,0.847150028,0.097719997,54.0909996,43.91600037,63.24700165,53.33499908,29.46199989,60.63199997,22.39299965,40.89400101,34.59799957,43.88199997,47.28499985,41.65000153,16.77599907
10,0.269329995,3635.600098,4491.200195,9.333800316,26.79299927,41.93899918,2706.199951,74.97799683,120.4000015,0.330769986,80.25499725,49.61199951,2635.5,26.16500092,50.71900177,3103.199951,23.63999939,65.70700073,231.5700073,341.75,94.52899933,77.59999847,32.65599823,8.785499573,26.47900009,6.896100044,18.86000061,1.677399993,32.94100189,13.74400043,23.93400002,1.089300036,18.47400093,2.235899925,4.812099934,2.292200089,0.017123001,0.821850002,0.109700002,53.08499908,44.29800034,62.64300156,53.70800018,26.23900032,61.51100159,22.32600021,38.74900055,36.95800018,48.19800186,47.64099884,41.42399979,16.45800018
11,0.268649995,3635.600098,4500.899902,9.359499931,26.91200066,42.50699997,2707.800049,75.07900238,120.3799973,0.329059988,80.39800262,49.03099823,2637.199951,23.52700043,50.70399857,3104.300049,22.27899933,65.78900146,233.8699951,341.7399902,94.53099823,77.45300293,32.65599823,8.785499573,26.47900009,6.896100044,18.86000061,1.677399993,32.94100189,13.74400043,23.93400002,1.089300036,18.47400093,2.235899925,4.812099934,2.292200089,0.017123001,0.821850002,0.109700002,53.08499908,44.29800034,62.64199829,53.59199905,26.30500031,62.29800034,22.64100075,38.95800018,35.24900055,48.16400146,47.56200027,40.78499985,19.68300056
12,0.208759993,3670.899902,4524.600098,9.392000198,26.89900017,42.14199829,2704.899902,74.67299652,120.4000015,0.327769995,80.06099701,50.52000046,2633.399902,26.71299934,51.39799881,3100.600098,22.21500015,65.81999969,230.6999969,341.8099976,94.63200378,76.84600067,32.18399811,8.878199577,26.39599991,6.952700138,19.06800079,1.672099948,33.16600037,13.80300045,23.92200089,1.307500005,18.49799919,2.201900005,4.877399921,2.295200109,0.017123001,0.821850002,0.109700002,53.08499908,44.29800034,62.80899811,53.56200027,20.51499939,60.80099869,22.69000053,38.8390007,39.62900162,49.76900101,47.97299957,40.93299866,19.88400078
13,0.207839996,3627.399902,4509.200195,9.271499634,26.81200027,42.28699875,2702.199951,74.94499969,120.3799973,0.330909997,79.85099792,50.0019989,2630.199951,27.09199905,46.91899872,3099.399902,22.83799934,65.78199768,233.1900024,341.7900085,94.64099884,76.7440033,32.18399811,8.878199577,26.39599991,6.952700138,19.06800079,1.672099948,33.16600037,13.80300045,23.92200089,1.307500005,18.49799919,2.201900005,4.877399921,2.295200109,0.017123001,0.821850002,0.109700002,53.08499908,44.29800034,63.55899811,53.7480011,20.60499954,61.27199936,22.0510006,38.45700073,38.10499954,39.40299988,47.88299942,40.5340004,18.43799973
14,0.251819998,3686.600098,4450.600098,9.486700058,27.14299965,42.13100052,2703.199951,74.86399841,120.3799973,0.337830007,79.88200378,49.54899979,2631.199951,25.91699982,48.93000031,3098.600098,22.72299957,65.68699646,232.3999939,341.8099976,94.80699921,77.43699646,32.70700073,8.685700417,26.20499992,6.826900005,18.85199928,1.632200003,32.84000015,13.59899998,23.66500092,1.17990005,18.58200073,2.29399991,4.875500202,2.312099934,0.017123001,0.821850002,0.109700002,53.08499908,44.29800034,62.00500107,53.90499878,24.78000069,61.27500153,22.68899918,39.125,36.77399826,44.05699921,48.09000015,40.79100037,18.6779995
15,0.252990007,3615.699951,4463.5,9.310700417,26.84300041,42.21900177,2704.600098,74.52999878,120.3899994,0.331750005,80.0510025,48.95100021,2633,25.13299942,49.98799896,3100.800049,23.39699936,65.70999908,230.1999969,342.0499878,94.68399811,77.24900055,32.70700073,8.685700417,26.20499992,6.826900005,18.85199928,1.632200003,32.84000015,13.59899998,23.66500092,1.17990005,18.58200073,2.29399991,4.875500202,2.312099934,0.0080868,0.83397001,0.091665,53.36800003,43.81900024,63.22399902,53.7519989,24.66500092,62.89400101,22.57900047,39.86600113,35.01300049,46.50699997,47.76900101,40.93399811,17.08399963
16,0.195250005,3653,4486.899902,9.501000404,26.43799973,42.16699982,2706.600098,75.75800323,120.4000015,0.312909991,80.27300262,50.48400116,2635.699951,24.04100037,51.13700104,3101.699951,21.68400002,65.74099731,231.6600037,341.5700073,94.61499786,77.55000305,32.72100067,8.849399567,26.33799934,6.892099857,18.38100052,1.716099977,32.63199997,13.86999989,23.75699997,1.366700053,18.06500053,2.226700068,4.66590023,2.260200024,0.0080868,0.83397001,0.091665,53.36800003,43.81900024,63.67699814,53.96900177,19.875,61.36800003,22.3579998,36.52500153,39.52399826,49.16400146,47.48600006,41.45299911,21.11199951
17,0.202150002,3692.600098,4496.700195,9.463500023,26.98399925,42.41799927,2704.699951,75.13400269,120.4000015,0.309489995,80.14800262,49.77000046,2633.600098,24.58099937,49.32099915,3101.800049,22.45199966,65.76000214,230.4299927,341.1099854,94.53700256,77.23600006,32.72100067,8.849399567,26.33799934,6.892099857,18.38100052,1.716099977,32.63199997,13.86999989,23.75699997,1.366700053,18.06500053,2.226700068,4.66590023,2.260200024,0.0080868,0.83397001,0.091665,53.36800003,43.81900024,62.99599838,53.85100174,19.1970005,59.29000092,22.35099983,36.94200134,37.42300034,44.96300125,47.44100189,40.9640007,19.31200027
18,0.193910003,3651.199951,4542.399902,9.379400253,26.93700027,42.44800186,2702.199951,75.84799957,120.4100037,0.339839995,80.02100372,50.70500183,2631.600098,24.66600037,49.34700012,3100.899902,22.97699928,65.73100281,229.3000031,341.0299988,94.70400238,77.05999756,32.39799881,8.923399925,26.50200081,7.077300072,18.50799942,1.662500024,33.14500046,13.86499977,24.18300056,1.380300045,18.24900055,2.258100033,4.911799908,2.243400097,0.0080868,0.83397001,0.091665,53.36800003,43.81900024,63.15800095,54.48799896,18.65699959,61.36399841,21.97599983,40.34999847,40.17599869,45.02299881,47.39099884,40.90800095,18.0890007
19,0.189779997,3670.300049,4558.100098,9.278499603,26.68400002,42.39599991,2703.100098,75.48999786,120.3799973,0.338999987,80.10800171,50.59799957,2632,23.93400002,50.49399948,3100.399902,22.54800034,65.69999695,231.0899963,340.6199951,94.68299866,77.51599884,32.39799881,8.923399925,26.50200081,7.077300072,18.50799942,1.662500024,33.14500046,13.86499977,24.18300056,1.380300045,18.24900055,2.258100033,4.911799908,2.243400097,0.0080868,0.83397001,0.091665,53.36800003,43.81900024,62.82899857,54.29999924,19.06299973,60.94900131,22.10700035,40.45299911,39.85900116,47.67699814,47.08200073,40.36299896,19.07699966
20,0.2183,3630.5,4542.700195,9.422599792,27.01300049,42.04600143,2706.399902,74.00299835,120.4100037,0.339370012,80.4469986,48.43399811,2636.100098,24.71800041,49.72100067,3102.399902,22.52599907,65.7480011,229.6199951,340.9500122,94.6289978,77.96099854,32.43199921,8.892399788,26.50200081,7.037399769,18.48800087,1.677099943,32.90399933,13.93500042,23.7159996,1.181800008,18.60099983,2.209500074,4.822500229,2.276799917,0.012848,0.852100015,0.088297002,54.04399872,44.06700134,61.79299927,54.22900009,21.64599991,61.02299881,22.24500084,40.34000015,33.49100113,45.88899994,47.35800171,41.4469986,19.06900024
21,0.219490007,3614.600098,4507.899902,9.22329998,26.50200081,42.27199936,2707.199951,75.21499634,120.3799973,0.338919997,80.46600342,51.07500076,2635.600098,24.38400078,50.04700089,3104,23.62700081,65.84700012,226.5599976,340.8399963,94.78099823,77.1969986,32.43199921,8.892399788,26.50200081,7.037399769,18.48800087,1.677099943,32.90399933,13.93500042,23.7159996,1.181800008,18.60099983,2.209500074,4.822500229,2.276799917,0.012848,0.852100015,0.088297002,54.04399872,44.06700134,62.06600189,54.64500046,21.52899933,62.75699997,22.05500031,40.39400101,41.26399994,46.64199829,47.60100174,40.80199814,16.48500061
22,0.214220002,3585.399902,4554.899902,9.267499924,26.77899933,41.94599915,2706.800049,74.91699982,120.3700027,0.347869992,80.37599945,50.49900055,2635.899902,25.40600014,48.45399857,3103,22.04999924,65.84600067,230.3899994,340.5299988,94.74199677,77.51699829,32.17699814,9.091799736,26.43700027,6.602799892,18.79700089,1.661800027,32.89199829,13.87300014,23.70299911,1.348199964,18.57500076,2.276400089,4.868800163,2.378999949,0.012848,0.852100015,0.088297002,54.04399872,44.06700134,62.75400162,54.17900085,20.93700027,60.93799973,22.21899986,41.28699875,39.56800079,42.95600128,47.23199844,40.93999863,20.19599915
23,0.21311,3608.800049,4525.299805,9.230099678,27.16799927,42.09600067,2703.100098,75.24900055,120.3799973,0.346469998,79.96299744,49.20899963,2631.300049,22.92700005,49.91600037,3102,23.08499908,65.80200195,230.1900024,340.230011,94.85900116,76.77400208,32.17699814,9.091799736,26.43700027,6.602799892,18.79700089,1.661800027,32.89199829,13.87300014,23.70299911,1.348199964,18.57500076,2.276400089,4.868800163,2.378999949,0.012848,0.852100015,0.088297002,54.04399872,44.06700134,62.35100174,54.5320015,21.04500008,61.67200089,22.19799995,41.45600128,35.77199936,46.3390007,47.22600174,40.22399902,17.8239994
24,0.237179995,3756.100098,4517.799805,9.414999962,26.81399918,41.85200119,2703.5,75.08899689,120.4199982,0.339230001,79.81700134,49.24300003,2631.300049,24.50600052,49.41500092,3101.800049,23.05800056,65.6760025,228.0599976,340.3999939,94.63700104,76.83399963,31.69099998,8.949899673,26.86000061,6.822899818,18.57999992,1.654500008,33.35900116,13.7159996,23.9640007,1.154399991,18.65399933,2.271600008,4.806200027,2.375,0.012848,0.852100015,0.088297002,54.04399872,44.06700134,63.68600082,53.88700104,23.28899956,62.5530014,21.6420002,40.8030014,35.87099838,45.18000031,47.40100098,41.05599976,17.90600014
25,0.237900004,3733.399902,4521.700195,9.452400208,26.59300041,42.40800095,2701.300049,74.57299805,120.4300003,0.341619998,79.6989975,50.17100143,2629.899902,24.78499985,49.9659996,3101.699951,21.96500015,65.55799866,230.8800049,339.9299927,94.54399872,77.31500244,31.69099998,8.949899673,26.86000061,6.822899818,18.57999992,1.654500008,33.35900116,13.7159996,23.9640007,1.154399991,18.65399933,2.271600008,4.806200027,2.375,0.031440999,0.843680024,0.090117,53.60599899,43.37400055,64.07700348,53.8390007,23.21899986,62.53900146,21.38299942,40.51100159,38.60400009,46.45500183,47.61600113,41.56399918,20.50600052
26,0.285860002,3699,4519.5,9.430999756,27.07500076,42.37799835,2705.800049,74.73899841,120.4199982,0.324620008,80.04100037,50.4109993,2634.800049,25.38699913,52.01399994,3104,22.88899994,65.56199646,234.2400055,340.230011,94.44000244,77.3239975,32.17200089,9.026499748,26.68400002,6.678299904,18.71100044,1.677099943,32.96099854,13.78100014,24.49399948,1.157299995,18.89299965,2.288000107,4.761600018,2.254300117,0.031440999,0.843680024,0.090117,53.60599899,43.37400055,62.89799881,54.4129982,28.26499939,60.81999969,22.0340004,38.35200119,39.30899811,51.19400024,47.50999832,40.94599915,18.3029995
27,0.286920011,3673.600098,4526.700195,9.420200348,26.83699989,42.60900116,2706,74.60800171,120.4000015,0.321009994,79.9980011,48.43500137,2634.399902,26.125,49.06700134,3105.699951,23.66699982,65.62999725,234.0299988,340,94.52200317,77.0019989,32.17200089,9.026499748,26.68400002,6.678299904,18.71100044,1.677099943,32.96099854,13.78100014,24.49399948,1.157299995,18.89299965,2.288000107,4.761600018,2.254300117,0.031440999,0.843680024,0.090117,53.60599899,43.37400055,63.33599854,54.32699966,28.15999985,61.6269989,21.6970005,38.79199982,33.49499893,44.375,47.7179985,42.23099899,16.4810009
28,0.242019996,3689,4493.700195,9.310500145,26.5720005,42.19499969,2706.5,74.36799622,120.4300003,0.328830004,80.16100311,49.39500046,2635.699951,24.48800087,50.47900009,3106.199951,23.28700066,65.65899658,234.5299988,340.2999878,94.42700195,77.71600342,31.76499939,8.882499695,26.50499916,6.680600166,19.08399963,1.65199995,33.0019989,14.10900021,24.2140007,1.159399986,18.63500023,2.252099991,4.79129982,2.301599979,0.031440999,0.843680024,0.090117,53.60599899,43.37400055,64.46299744,54.42499924,23.95700073,59.72600174,21.70800018,39.47900009,36.32099915,47.64300156,47.86100006,41.66999817,17.32999992
29,0.245920002,3720.800049,4575.899902,9.365200043,26.78100014,42.48600006,2709.399902,74.93900299,120.4000015,0.328969985,80.55699921,50.82400131,2638,23.02300072,48.73500061,3108.5,22.26600075,65.80000305,233.9199982,339.8200073,94.3010025,77.96299744,31.76499939,8.882499695,26.50499916,6.680600166,19.08399963,1.65199995,33.0019989,14.10900021,24.2140007,1.159399986,18.63500023,2.252099991,4.79129982,2.301599979,0.031440999,0.843680024,0.090117,53.60599899,43.37400055,63.91699982,53.43999863,23.57299995,60.99000168,21.8239994,39.4620018,40.52600098,43.60599899,48.09500122,41.20800018,19.69499969
30,0.283100009,3742.5,4471,9.374099731,26.79500008,42.56000137,2704.5,75.32299805,120.4599991,0.365269989,80.35700226,52.08499908,2633.5,26.25200081,50.71300125,3105.399902,23.45599937,65.91500092,233.4299927,339.5899963,94.3809967,77.19000244,31.55699921,8.822600365,26.49699974,7.23059988,18.68600082,1.645799994,32.69900131,13.79100037,24.22299957,1.154099941,18.57900047,2.248300076,4.886600018,2.336999893,0.022412,0.836059988,0.118330002,54.10699844,43.74900055,63.7140007,53.75999832,28.09799957,60.07099915,21.39800072,43.97900009,44.23500061,48.18299866,48.11999893,42.11800003,16.91300011
31,0.28294,3731.199951,4458.5,9.348199844,26.83300018,42.57500076,2699.699951,74.01599884,120.3899994,0.366239995,80.04000092,49.63299942,2628.199951,26.95700073,48.69800186,3100.800049,22.45899963,65.90000153,231.3999939,339.6600037,94.35299683,77.03600311,31.55699921,8.822600365,26.49699974,7.23059988,18.68600082,1.645799994,32.69900131,13.79100037,24.22299957,1.154099941,18.57900047,2.248300076,4.886600018,2.336999893,0.022412,0.836059988,0.118330002,54.10699844,43.74900055,63.90800095,53.90999985,28.11400032,61.86999893,21.55599976,43.86000061,37.01900101,43.52000046,48.39599991,41.48500061,19.31200027
32,0.30904001,3613.899902,4532.899902,9.329099655,26.7310009,42.25099945,2700.399902,73.94000244,120.3899994,0.333829999,80.04399872,49.54000092,2628.899902,23.43600082,49.80799866,3099.600098,23.31100082,65.84500122,233.4700012,339.9299927,94.6740036,77.28199768,31.93700027,8.817500114,26.52499962,6.921899796,18.76099968,1.678300023,32.83200073,13.8039999,24.17300034,1.220000029,17.92200089,2.262099981,4.891799927,2.315299988,0.022412,0.836059988,0.118330002,54.10699844,43.74900055,61.03300095,53.97600174,30.58300018,61.06499863,21.62199974,39.49100113,36.74700165,46.0909996,48.31000137,41.14400101,17.28499985
33,0.311170012,3605.100098,4542.299805,9.419599533,26.71999931,42.24000168,2704.600098,75.00299835,120.3700027,0.332789987,80.1309967,50.60900116,2632.600098,25.27000046,49.96699905,3102,23.91900063,65.85199738,233.9499969,340.4100037,94.71199799,77.43599701,31.93700027,8.817500114,26.52499962,6.921899796,18.76099968,1.678300023,32.83200073,13.8039999,24.17300034,1.220000029,17.92200089,2.262099981,4.891799927,2.315299988,0.022412,0.836059988,0.118330002,54.10699844,43.74900055,61.18500137,53.86500168,30.37400055,61.66899872,22.01600075,39.61800003,39.89400101,46.45700073,48.36399841,40.34999847,15.82499981
34,0.277940005,3626.199951,4533.799805,9.434599876,26.72400093,42.33399963,2708.699951,74.32299805,120.4000015,0.333079994,80.34700012,49.92900085,2637.399902,26.60899925,50.85100174,3105.199951,24.02700043,65.88800049,233.0500031,340.8900146,94.7519989,77.54499817,32.04700089,8.992899895,26.52599907,7.147099972,18.86800003,1.638000011,33.05199814,13.92000008,24.46899986,1.327700019,18.81900024,2.300100088,4.891799927,2.298000097,0.022412,0.836059988,0.118330002,54.10699844,43.74900055,63.34500122,53.79000092,27.31399918,61.69400024,22.33799934,39.88800049,37.89099884,48.50299835,48.54000092,40.83000183,15.54199982
35,0.277590007,3674.300049,4481.799805,9.367799759,27.10300064,42.35200119,2706.899902,74.79100037,120.3799973,0.333550006,80.11100006,51.45700073,2635.600098,25.36800003,51.08399963,3106.100098,22.81500053,65.91000366,231.8999939,340.9400024,94.52899933,76.92900085,32.04700089,8.992899895,26.52599907,7.147099972,18.86800003,1.638000011,33.05199814,13.92000008,24.46899986,1.327700019,18.81900024,2.300100088,4.891799927,2.298000097,0.012294,0.838450015,0.096596003,53.13399887,43.45800018,62.51699829,54.41199875,27.34900093,61.91799927,22.23999977,39.83100128,42.38700104,49.04299927,48.54800034,40.45600128,18.46999931
36,0.270529985,3595.399902,4464.799805,9.418999672,27.13299942,42.42599869,2705.199951,75.51899719,120.3899994,0.35097,79.96099854,48.99900055,2634.5,26.86300087,49.81000137,3102.699951,22,65.83699799,233.9799957,341.5899963,94.79399872,77.2990036,32.06600189,8.895899773,26.12800026,6.745699883,18.2670002,1.673400044,32.9070015,13.59899998,24.0909996,1.176200032,18.37299919,2.235599995,4.891200066,2.350500107,0.012294,0.838450015,0.096596003,53.13399887,43.45800018,61.75600052,54.34600067,26.36199951,61.37900162,22.26000023,40.86800003,35.15399933,46.09500122,48.38000107,40.53699875,20.3939991
37,0.268649995,3593.800049,4526.200195,9.423199654,26.94300079,41.95800018,2706.899902,75.25900269,120.3600006,0.346810013,79.90000153,48.22100067,2636,26.56999969,50.40299988,3103.600098,23.17399979,65.78600311,233.1499939,342.1099854,94.80799866,77.48799896,32.06600189,8.895899773,26.12800026,6.745699883,18.2670002,1.673400044,32.9070015,13.59899998,24.0909996,1.176200032,18.37299919,2.235599995,4.891200066,2.350500107,0.012294,0.838450015,0.096596003,53.13399887,43.45800018,61.7840004,53.61100006,26.54700089,61.11199951,22.55999947,41.375,32.86399841,47.46699905,48.47399902,40.18299866,17.61000061
38,0.268059999,3683.199951,4561.799805,9.138899803,27.01799965,42.37200165,2711,76.26599884,120.4499969,0.31042999,80.07499695,47.45999908,2640.100098,25.94199944,49.19100189,3108.5,21.90600014,65.78600311,235.2299957,341.5400085,94.56600189,77.17299652,31.8409996,8.897899628,26.52300072,7.051499844,18.55999947,1.665699959,33.29000092,13.82699966,23.67300034,1.307399988,19.00600052,2.282799959,4.816100121,2.266599894,0.012294,0.838450015,0.096596003,53.13399887,43.45800018,63.70600128,54.69599915,26.50900078,63.78499985,22.3409996,37.14500046,30.62400055,44.6629982,48.30599976,41.27700043,20.62700081
39,0.266799986,3696.399902,4589.600098,9.418700218,26.71999931,42.16699982,2710.399902,75.0759964,120.4000015,0.312379986,80.01200104,49.61700058,2640.100098,24.55699921,48.02600098,3108,23.22299957,65.79699707,233.4299927,341.980011,94.58899689,77.12200165,31.8409996,8.897899628,26.52300072,7.051499844,18.55999947,1.665699959,33.29000092,13.82699966,23.67300034,1.307399988,19.00600052,2.282799959,4.816100121,2.266599894,0.012294,0.838450015,0.096596003,53.13399887,43.45800018,63.47900009,54.36399841,26.63299942,60.93700027,22.31200027,36.9070015,36.97299957,41.96500015,48.48400116,41.30500031,17.51099968
40,0.293819994,3594.5,4513,9.247300148,26.97200012,42.41799927,2709.300049,74.73400116,120.4199982,0.336609989,79.90299988,50.48500061,2637.399902,25.1989994,49.09000015,3107.199951,23.27400017,65.76100159,237.5500031,341.4899902,94.47200012,77.40499878,32.24300003,8.816300392,26.47500038,6.674499989,19.12100029,1.634899974,32.79899979,13.80900002,24.20299911,1.332800031,19.11599922,2.257499933,4.850500107,2.243400097,0.0054027,0.84157002,0.102949999,53.73199844,44.35599899,62.5340004,54.62200165,28.74200058,62.22900009,22.05999947,39.88399887,39.52799988,44.42699814,48.20000076,41.16199875,17.37599945
41,0.29282999,3643,4527.799805,9.293199539,26.83399963,42.13299942,2712.100098,74.89600372,120.4100037,0.335339993,80.12400055,50.65800095,2641.300049,25.1079998,49.72200012,3108,23.66900063,65.78299713,234.3200073,342.3599854,94.71700287,77.45500183,32.24300003,8.816300392,26.47500038,6.674499989,19.12100029,1.634899974,32.79899979,13.80900002,24.20299911,1.332800031,19.11599922,2.257499933,4.850500107,2.243400097,0.0054027,0.84157002,0.102949999,53.73199844,44.35599899,61.70000076,54.44400024,28.8390007,60.10800171,22.64999962,40.03900146,40.0359993,45.89199829,48.5320015,40.83399963,16.42200089
42,0.256610006,3688.600098,4484.399902,9.339099884,27.15500069,41.80599976,2711.699951,74.78399658,120.4000015,0.332720011,80.2009964,49.77600098,2641.300049,25.1420002,48.84899902,3108.899902,23.19799995,65.85500336,233.6600037,342.0700073,94.40399933,77.43599701,32.03099823,8.859499931,26.40099907,6.942599773,19.27599907,1.654299974,33.19499969,13.86100006,23.2689991,1.425500035,18.36100006,2.293800116,4.788000107,2.284100056,0.0054027,0.84157002,0.102949999,53.73199844,44.35599899,64.23899841,53.57600021,25.04400063,61.94800186,22.81100082,39.88000107,37.44100189,43.86899948,48.63299942,41.83499908,17.52300072
43,0.25444001,3725.399902,4461.700195,9.142900467,26.76600075,42.06299973,2708.399902,75.27600098,120.4000015,0.335280001,79.99099731,51.74599838,2637.199951,24.7310009,49.45999908,3105.5,23.4090004,65.8789978,233.8899994,341.6799927,94.4980011,77.1969986,32.03099823,8.859499931,26.40099907,6.942599773,19.27599907,1.654299974,33.19499969,13.86100006,23.2689991,1.425500035,18.36100006,2.293800116,4.788000107,2.284100056,0.0054027,0.84157002,0.102949999,53.73199844,44.35599899,63.60599899,53.84799957,25.25699997,63.13399887,22.39800072,39.56700134,43.23699951,45.2840004,48.65299988,41.59199905,17.04599953
